Αρχείο,Πού χρησιμοποιείται,Διαστάσεις,Μορφή,Prompt για Nano Banana,Σημειώσεις
70-kokoretsi.png,Πιάτο: Κοκορέτσι (λείπει τώρα),144x144,Transparent PNG,"Traditional Greek kokoretsi on a spit: seasoned offal wrapped in caul and intestine, coiled tightly around a long metal skewer, golden-brown roasted crust, gentle smoke wisp. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",ΕΠΕΙΓΟΝ — το πιάτο υπάρχει στο μενού χωρίς εικόνα. Ίδιο ύφος με 68-kontosouvli-clean.png
cat-appetizers.png,Κατηγορία: Ορεκτικά,144x144,Transparent PNG,"A small meze spread: three little bowls of dips with a folded pita wedge and an olive. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",Χρησιμοποιείται στην κάρτα κατηγορίας και στο chip
cat-salads.png,Κατηγορία: Σαλάτες,144x144,Transparent PNG,"A rustic bowl of Greek salad: tomato wedges, cucumber, red onion, a slab of feta, olives, drizzle of olive oil. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
cat-spit.png,Κατηγορία: Σούβλες,144x144,Transparent PNG,"A long horizontal roasting spit with a whole lamb turning over glowing embers, small flames beneath. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
cat-meat.png,Κατηγορία: Της ώρας,144x144,Transparent PNG,"A grilled chop and a skewer resting on a cast-iron griddle with grill marks. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
cat-drinks.png,Κατηγορία: Ποτά,144x144,Transparent PNG,"A carafe of house wine beside a small tumbler and a bottle cap. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
cat-pizza.png,Κατηγορία: Πίτσες,144x144,Transparent PNG,"A stone-baked pizza with one slice lifted, basil leaves on top. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
theme-ember.png,Θέμα «Σούβλες · φωτιά» — διακοσμητικό banner,512x512,Transparent PNG,"Decorative corner ornament of glowing embers, sparks rising, and a crossed pair of roasting skewers. Warm red-orange and gold only. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",Μπαίνει διακριτικά πάνω δεξιά στο banner
theme-assumption.png,Θέμα «Δεκαπενταύγουστος · γαλάζιο»,512x512,Transparent PNG,"Decorative corner ornament for the Greek Feast of the Assumption: a sprig of basil, a small votive oil lamp, and stylised Aegean waves with a gold star. Deep sea blue, white and gold only. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",Το κύριο θέμα για 15 Αυγούστου
theme-olive.png,Θέμα «Ταβέρνα · λαδί»,512x512,Transparent PNG,"Decorative corner ornament of an olive branch with leaves and ripe olives, plus a small clay oil jug. Olive green and cream only. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
theme-night.png,Θέμα «Βραδινό · σκούρο»,512x512,Transparent PNG,"Decorative corner ornament of a crescent moon, three small stars and a sprig of rosemary. Charcoal and antique gold only. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
theme-festive.png,Θέμα «Γιορτινό · βυσσινί»,512x512,Transparent PNG,"Decorative corner ornament of a laurel wreath with small hanging lanterns and confetti specks. Deep wine red and gold only. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",
special-badge.png,Σήμα «ΣΠΕΣΙΑΛ ΜΕΝΟΥ» στο banner,256x256,Transparent PNG,"A small circular seal or stamp with a laurel border and a star at its centre, like a quality mark pressed in gold foil. No text inside. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px","Εναλλακτικό του emoji, αν θες κάτι πιο επώνυμο"
special-divider.png,Διαχωριστικό μέσα στο σπέσιαλ μενού,1024x64,Transparent PNG,"A slim horizontal ornamental rule: a thin line that swells at the centre into a small olive sprig motif, tapering to points at both ends. hand-drawn illustration, fine dark-brown ink outline, soft flat watercolour fill, warm muted earthy palette (terracotta, olive green, cream, gold), light cross-hatch shading, single centred subject, no text, no lettering, no drop shadow, no frame, fully transparent background, square composition with even padding, small clean icon that stays legible at 40px",Ανάμεσα στις κατηγορίες του σπέσιαλ μενού
spit-hero.jpg,Φόντο banner (αντικαθιστά το souvles.jpg),1600x900,"JPG, όχι διάφανο","Photographic-style illustration of a whole lamb roasting on a spit over embers at dusk in a Greek taverna courtyard, shallow depth of field, warm firelight, dark moody background with plenty of empty dark space on the left third for text overlay. Painterly, not photoreal.",Το κείμενο του banner πέφτει αριστερά — κράτα εκείνη την πλευρά σκοτεινή και άδεια
